id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36450142,Conveniently located north Seattle garden suite,17088076,M,Lake City,Victory Heights,47.71837961,-122.3053067,Entire home/apt,126,3,92,6/16/2024,1.55,1,130,17,STR-OPLI-19-001216
36471906,Stylish Micro Flat & 'Sweet' in Heart of Ballard,3279732,Stacy,Ballard,Adams,47.66888,-122.39222,Entire home/apt,146,1,281,6/19/2024,4.66,1,58,44,STR-OPLI-19-002614
36480820,Charming One Bedroom - Great Location!,274293565,Sandy,Other neighborhoods,South Park,47.52455,-122.32903,Entire home/apt,89,3,86,6/3/2024,1.43,1,98,17,STR-OPLI-19-001207
36491125,Seattle Downtown/Convention Center 1 bedroom 1bath,184222969,D And J,Downtown,First Hill,47.61143,-122.32862,Entire home/apt,200,3,38,5/27/2024,0.65,1,27,9,STR-OPLI-19-001451
36512479,Private Cozy Apt near Fremont w/ balcony & grill,37289605,Georg,Queen Anne,North Queen Anne,47.64806,-122.3554,Entire home/apt,,4,16,7/29/2023,0.27,1,0,1,STR-OPLI-20-000277
36553906,Cozy Studio in Capitol Hill-Walking to Light Rail,237413517,Sherly,Capitol Hill,Broadway,47.62439,-122.32204,Entire home/apt,168,30,228,6/16/2024,3.82,2,208,96,Exempt
36563849,A Lively Urban Farm in the Heart of Ballard,2616129,Gwynne,Ballard,Whittier Heights,47.67759,-122.36841,Entire home/apt,105,3,39,6/15/2024,2.01,1,8,24,STR-OPLI-22-001754
36595243,Large Backyard  Cottage Retreat Near Green Lake,275072343,Jon,Northgate,Maple Leaf,47.69514,-122.32093,Entire home/apt,122,5,63,4/20/2024,1.08,1,137,12,STR-OPLI-19-001371
36603045,Stunning Capitol Hill View Apartment,275133079,Dan,Capitol Hill,Broadway,47.61985,-122.31413,Entire home/apt,164,1,572,6/23/2024,9.58,1,107,91,STR-OPLI-19-000698
36607801,Spacious Wallingford House with Lake Union Views,204886779,Jennifer,Other neighborhoods,Wallingford,47.64939,-122.33209,Entire home/apt,442,2,188,6/15/2024,3.13,6,31,40,STR-OPLI-19-001829
36634976,Woodside Suite: Relax Amid Sea Breezes,275357383,Michelle,West Seattle,Gatewood,47.53898,-122.3881,Entire home/apt,97,30,91,4/8/2024,1.55,1,115,3,STR-OPLI-19-001018
36638018,Stylish Modern Apartment in Heart of West Seattle,26969202,Wesley,West Seattle,Seaview,47.55539,-122.39429,Entire home/apt,116,3,77,5/20/2024,1.29,1,33,19,STR-OPLI-19-001339
36642294,"Cozy Crown Hill Carkeek Cottage w/3 Beds, Backyard",54660,Dennis,Other neighborhoods,Crown Hill,47.70072,-122.37031,Entire home/apt,119,1,92,6/9/2024,1.68,4,290,16,STR-OPLI-19-001993
36696017,Cozy Seattle Retreat,85888065,Kath & Dave,Ballard,West Woodland,47.663506,-122.361168,Entire home/apt,118,5,41,6/12/2024,0.71,1,213,9,STR-OPLI-19-001374
36732856,Westlake 3 beds w/ breakfast & walk to waterfront,255399130,Lane & Lloyd,Queen Anne,East Queen Anne,47.63911,-122.34347,Entire home/apt,225,2,315,6/12/2024,5.37,1,318,77,STR-OPLI-21-001239
36770186,"Condo w/ Great View, Location, & Free Parking",276367369,Chia-Yu,Cascade,South Lake Union,47.61864,-122.34585,Entire home/apt,193,2,219,6/8/2024,3.69,1,134,47,STR-OPLI-19-000679
36773048,The Admiral Nest Romantic West Seattle View Suite,52599704,Jesse & Maren,West Seattle,North Admiral,47.57999,-122.37667,Entire home/apt,153,1,290,6/18/2024,4.92,1,310,73,STR-OPLI-19-002995
36844733,Secluded Garden Cabana w/ Soaking Tub Heated Floor,22934147,Alice,Ballard,West Woodland,47.66497,-122.36309,Entire home/apt,153,2,176,6/20/2024,3.77,1,124,48,STR-OPLI-20-000766
36878218,Alki Guesthouse,277184119,Brenna & Joe,West Seattle,Alki,47.57634,-122.41512,Entire home/apt,193,2,167,6/16/2024,2.83,1,219,22,STR-OPLI-19-001016
36914638,Capitol Hill! Centrally located Urban Studio,277452270,Candice,Capitol Hill,Broadway,47.62577,-122.3172,Entire home/apt,154,365,59,1/13/2024,1.01,2,346,10,STR-OPLI-20-000109
37018606,Spacious Studio-94 Walk Score 1 Block to LightRail,7506078,Lisa,Other neighborhoods,Roosevelt,47.67886,-122.31281,Entire home/apt,124,1,211,6/9/2024,3.58,2,51,40,STR-OPLI-19-002859
37085792,Cozy Matthew's Beach Home in Seattle,56261633,Damian,Lake City,Matthews Beach,47.69842,-122.28522,Entire home/apt,198,30,68,1/5/2024,1.56,1,317,9,STR-OPLI-20-001180
37112808,MARVELous Mansion⚡️Home Theater⚡️Gym⚡️Backyard,25961174,Brittany,Northgate,Haller Lake,47.72468,-122.33422,Entire home/apt,331,2,124,6/2/2024,3.5,1,128,40,STR-OPLI-21-000670
37125115,Hip Apartment Downtown/First Hill- walk to it all!,147826931,Christopher,Downtown,First Hill,47.61163,-122.33085,Entire home/apt,229,4,168,6/22/2024,3.1,1,262,35,STR-OPLI-19-003485
37132009,Best value in Cap Hill: Homely 1BR next to subway,10162393,Ignacio,Capitol Hill,Broadway,47.62515,-122.31734,Entire home/apt,140,2,113,5/18/2024,1.9,1,131,23,STR-OPLI-19-002970
37177460,North seattle condo with amenities,279760783,Jazzmine,Other neighborhoods,Broadview,47.72415,-122.3558,Entire home/apt,,1,37,5/3/2024,1.08,1,0,2,STR-OPLI-21-000698
37267631,Large 2 bdr 5 min to UW /Green Lake/ Bryant 11,3074414,Melissa,Other neighborhoods,Bryant,47.67668,-122.28918,Entire home/apt,170,30,2,9/10/2023,0.03,132,37,1,
37285625,Vintage Cap Hill Hideaway,280697623,Tiffany,Capitol Hill,Stevens,47.62017,-122.31043,Entire home/apt,97,2,127,6/7/2024,2.24,2,4,35,STR-OPLI-19-001981
37300439,Modern Executive Suite Near Pike and Waterfront,56784852,William,Downtown,Central Business District,47.60683,-122.33862,Entire home/apt,284,1,484,6/9/2024,8.15,5,29,112,STR-OPLI-19-001930
37354182,SPACIOUS SEATTLE HOME | 3BR 2BA | PRIVATE BACKYARD,77736056,Lindsay,Beacon Hill,South Beacon Hill,47.53089,-122.28163,Entire home/apt,353,2,101,6/17/2024,1.71,1,153,24,STR-OPLI-19-001591
37364134,A beautiful house in the heart of SEATTLE,281546377,Fanus,Beacon Hill,South Beacon Hill,47.5333,-122.29129,Entire home/apt,124,1,70,6/12/2024,1.18,1,50,9,STR-OPLI-19-002149
